"workflowid","gsm_version","param","index","default","configurable","gsm_analysis_date"
"cou0001","1.8.4","vThreshold",2,"-2",TRUE,2024-01-11
"cou0001","1.8.4","vThreshold",3,"2",TRUE,2024-01-11
"cou0001","1.8.4","vThreshold",4,"3",TRUE,2024-01-11
"cou0001","1.8.4","strMethod",NA,"NormalApprox",FALSE,2024-01-11
"cou0001","1.8.4","nMinDenominator",NA,"30",TRUE,2024-01-11
"cou0002","1.8.4","strGroup",NA,"Country",FALSE,2024-01-11
"cou0002","1.8.4","vThreshold",1,"-3",TRUE,2024-01-11
"cou0002","1.8.4","vThreshold",2,"-2",TRUE,2024-01-11
"cou0002","1.8.4","vThreshold",3,"2",TRUE,2024-01-11
"cou0002","1.8.4","vThreshold",4,"3",TRUE,2024-01-11
"cou0002","1.8.4","strMethod",NA,"NormalApprox",FALSE,2024-01-11
"cou0002","1.8.4","nMinDenominator",NA,"30",TRUE,2024-01-11
"cou0003","1.8.4","strGroup",NA,"Country",FALSE,2024-01-11
"cou0003","1.8.4","vThreshold",1,"-3",TRUE,2024-01-11
"cou0003","1.8.4","vThreshold",2,"-2",TRUE,2024-01-11
"cou0003","1.8.4","vThreshold",3,"2",TRUE,2024-01-11
"cou0003","1.8.4","vThreshold",4,"3",TRUE,2024-01-11
"cou0003","1.8.4","strMethod",NA,"NormalApprox",FALSE,2024-01-11
"cou0003","1.8.4","nMinDenominator",NA,"30",TRUE,2024-01-11
"cou0004","1.8.4","strGroup",NA,"Country",FALSE,2024-01-11
"cou0004","1.8.4","vThreshold",1,"-3",TRUE,2024-01-11
"cou0004","1.8.4","vThreshold",2,"-2",TRUE,2024-01-11
"cou0004","1.8.4","vThreshold",3,"2",TRUE,2024-01-11
"cou0004","1.8.4","vThreshold",4,"3",TRUE,2024-01-11
"cou0004","1.8.4","strMethod",NA,"NormalApprox",FALSE,2024-01-11
"cou0004","1.8.4","nMinDenominator",NA,"30",TRUE,2024-01-11
"cou0005","1.8.4","strGroup",NA,"Country",FALSE,2024-01-11
"cou0005","1.8.4","vThreshold",1,"-3",TRUE,2024-01-11
"cou0005","1.8.4","vThreshold",2,"-2",TRUE,2024-01-11
"cou0005","1.8.4","vThreshold",3,"2",TRUE,2024-01-11
"cou0005","1.8.4","vThreshold",4,"3",TRUE,2024-01-11
"cou0005","1.8.4","strMethod",NA,"NormalApprox",FALSE,2024-01-11
"cou0005","1.8.4","nMinDenominator",NA,"30",TRUE,2024-01-11
"cou0006","1.8.4","strGroup",NA,"Country",FALSE,2024-01-11
"cou0006","1.8.4","vThreshold",1,"-3",TRUE,2024-01-11
"cou0006","1.8.4","vThreshold",2,"-2",TRUE,2024-01-11
"cou0006","1.8.4","vThreshold",3,"2",TRUE,2024-01-11
"cou0006","1.8.4","vThreshold",4,"3",TRUE,2024-01-11
"cou0006","1.8.4","strMethod",NA,"NormalApprox",FALSE,2024-01-11
"cou0006","1.8.4","nMinDenominator",NA,"3",TRUE,2024-01-11
"cou0007","1.8.4","strGroup",NA,"Country",FALSE,2024-01-11
